"","OBJECTID_12","Join_Count","TARGET_FID","Join_Count_1","TARGET_FID_1","Survey","Age","Age_Bin","Gender","Education","Income","Race","RaisedCity","RaisedStat","Latitude","Longitude","RaisedYear","F1002","F1007","F1009","F1014_1","F1016_1","F1017","F1018","F1018_1","F1019","F1019_1","F1020","F1020_1","F1021","F1021_1","F1022","F1023","F1024","F1024_1","F1025","F1025_1","F1026","F1026_1","F1027","F1027_1","F1029","F1030","F1032","F1033","F1034","F1035","F1038","F1039","F1039_1","F1040","F1041","F1042","F1043","F1045","F1047","F1048","F1049","F1054","F1060","F1060_1","F1061","F1062","F1063","F1064","F1065","F1066","F1067","F1068","F1068_1","F1069","F1070","F1070_1","F1071","F1072","F1072_1","F1073","F1073_1","F1074","F1075","F1076","F1077","F1078","F1079","F1079_1","F1080","F1081","F1082","F1083","F1084","F1085","F1086","F1087","F1088","F1089","F1090","F1091","F1092","F1093","F1094","F1095","F1096","F1097","F1098","F1099","F1100","F1101","F1102","F1103","F1113","F1114","F1115","F1116","F1117","F1118","F1118_1","F1119","F1120","F1121","F1122","F1123","F1124","F1125","F1126","F1127","F1128","F1129","F1130","F1134","F1135","F1136","F1138","F1140","F1141","F1142","F1143","F1144","F1145","F1146","F1147","F1148","F1149","F1150","F1151","F1152","F1153","F1154","F1155","F1156","F1157","F1158","F1159","F1160","F1161","F1162","F1163","F1164","F1165","F1167","F1169","F1170","F1171","F1172","F1173","F1174","F1175","F1176","F1177","F1178","F1179","F1180","F1181","F1182","F1183","F1201","F1202","F1203","F1204","F1205","F1206","F1207","F1208","F1209","F1210","F1211","F1212","F1213","F1214","F1215","F1216","F1217","F1218","F1219","F1220","F1221","F1222","F1223","F1224","F1225","F1226","F1227","F1228","F1229","F1230","F1231","F1232","F1233","F1240","F1241","F1242","F1249","F1250","F1251","F1258","F1259","F1260","F1267","F1268","F1269","F1276","F1277","F1278","F1285","F1286","F1287","F1294","F1295","F1296","F1302","F1303","F1304","F1305","F1306","F1307","F1308","F1309","F1310","F1311","F1312","F1313","1314","1324","1334","1318","1325","1335","1333","1317","1326","1336","1315","1327","1337","1343","1316","1328","1338","1319","1329","1339","1320","1330","1340","1323","1321","1331","1341","1322","1332","1342","1019.1","1079.1","1020.1","1027.1","1060.1","1018.1","1021.1","1025.1","1026.1","1024.1","personid","responseID","NumberJudg","CG_Min","CU_Max","Min_Max_Di","CG_Score","CU_Score","C_Sum_Disc","Controls_D","Completion","Geography_","Discard_","StartDate","EndDate","StatusResp","IPaddress","DurationSe","Finished","RecordedDa","UserLang","Consent","GenderOthe","RaceOther","nLangs","Langs","MoCity","MoState","MoCountry","FaCity","FaState","FaCountry","CuCity","CuState","TimeCu","MoLon","MoLat","FaLon","FaLat","CuLon","CuLat","Id","Input_FID","Row_Labels","Region_Nam","Field5","Field6","Field7","Field8","Field9","Field10","OBJECTID_1","SHAPE_Leng","Dialect_Re","Shape_Le_1","Region","Sub_Region","SubSub_Reg","OBJECTID_2","OBJECTID","NAME","STATE_NAME","STATE_FIPS","CNTY_FIPS","FIPS","POPULATION","POP_SQMI","POP2010","POP10_SQMI","WHITE","BLACK","AMERI_ES","ASIAN","HAWN_PI","HISPANIC","OTHER","MULT_RACE","MALES","FEMALES","AGE_UNDER5","AGE_5_9","AGE_10_14","AGE_15_19","AGE_20_24","AGE_25_34","AGE_35_44","AGE_45_54","AGE_55_64","AGE_65_74","AGE_75_84","AGE_85_UP","MED_AGE","MED_AGE_M","MED_AGE_F","HOUSEHOLDS","AVE_HH_SZ","HSEHLD_1_M","HSEHLD_1_F","MARHH_CHD","MARHH_NO_C","MHH_CHILD","FHH_CHILD","FAMILIES","AVE_FAM_SZ","HSE_UNITS","VACANT","OWNER_OCC","RENTER_OCC","NO_FARMS12","AVE_SIZE12","CROP_ACR12","AVE_SALE12","SQMI","Shape__Are","Shape__Len","UACE10","GEOID10","NAME10","NAMELSAD10","LSAD10","MTFCC10","UATYP10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10"
"1",5002,1,5002,1,5002,13,"20","18-30","Female","some college","1","asian","Honolulu","Hawaii","21.30493","-157.85788","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,5,4,2,5,2,4,2,5,3,2,5,5,4,2,5,5,2,5,3,2,5,5,3,2,5,2,2,5,2,2,2,4,3,3,5,5,5,5,"R_2pWWDRmFXjlF7RM Survey 13","R_2pWWDRmFXjlF7RM",47,"3","4","NA","NA","NA","NA","NA","NA","NA","NA","2021-03-22 17:29:54","2021-03-22 17:39:09","IP Address","40.131.29.163","555","1","2021-03-22 17:39:10","EN","I agree.","NA","NA","2","english, japanese","NA","NA","NA","Honolulu","Hawaii","Honolulu","Irvine","California","6","NA","NA","-157.85788","21.30493","-117.82591","33.68731",0,"NA","NA","NA",NA,NA,NA,NA,NA,NA,0,"NA","NA","NA","NA","NA","NA","NA","NA","Honolulu","Hawaii","15","3","15003","1014168","1681","953207","1580","198732","19256","2438","418410","90878","77433","10457","213036","477092","476115","61261","57818","56147","60344","73203","134446","125296","131724","114478","68927","47203","22360","37.7","36.1","39.3","311047","2.95","33882","37034","76399","84773","8564","21425","217842","3.48","336899","25852","174387","136660","927","77","23067","163305","603.31","0.138087323702278","1.73544053043537","89770","89770","Urban Honolulu, HI","Urban Honolulu, HI Urbanized Area","75","G3500","U","S","440039089","13080105","21.3641455","-157.940237"
"2",5003,1,5003,1,5003,13,"52","51-60","Male","bachelor's","37500","asian","Honolulu","Hawaii","21.30493","-157.85788","19",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,2,4,4,4,2,3,5,2,4,3,4,5,5,3,4,1,5,3,3,3,4,5,3,4,3,3,4,3,4,4,3,4,5,5,5,5,4,"R_1ihd4JofvNltfze Survey 13","R_1ihd4JofvNltfze",47,"4","4","NA","NA","NA","NA","NA","NA","NA","NA","2021-03-22 11:02:48","2021-03-22 11:18:36","IP Address","70.176.217.54","948","1","2021-03-22 11:18:37","EN","I agree.","NA","NA","1","english","Honolulu","Hawaii","Honolulu","Honolulu","Hawaii","Honolulu","Phoenix","Arizona","21","-157.85788","21.30493","-157.85788","21.30493","-112.0758","33.44826",0,"NA","NA","NA",NA,NA,NA,NA,NA,NA,0,"NA","NA","NA","NA","NA","NA","NA","NA","Honolulu","Hawaii","15","3","15003","1014168","1681","953207","1580","198732","19256","2438","418410","90878","77433","10457","213036","477092","476115","61261","57818","56147","60344","73203","134446","125296","131724","114478","68927","47203","22360","37.7","36.1","39.3","311047","2.95","33882","37034","76399","84773","8564","21425","217842","3.48","336899","25852","174387","136660","927","77","23067","163305","603.31","0.138087323702278","1.73544053043537","89770","89770","Urban Honolulu, HI","Urban Honolulu, HI Urbanized Area","75","G3500","U","S","440039089","13080105","21.3641455","-157.940237"
"3",5004,1,5004,1,5004,13,"56","51-60","Male","high school diploma","25000","white","Honolulu","Hawaii","21.30493","-157.85788","23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,4,2,3,2,4,4,3,2,1,4,4,2,2,3,2,4,4,1,2,2,4,2,4,3,1,3,3,2,2,2,2,2,4,5,3,5,5,"R_yqFbvFwx95dKvXH Survey 13","R_yqFbvFwx95dKvXH",47,"3","2","NA","NA","NA","NA","NA","NA","NA","NA","2021-03-23 06:57:47","2021-03-23 07:08:29","IP Address","108.76.221.242","641","1","2021-03-23 07:08:30","EN","I agree.","NA","NA","1","english","Honolulu","Hawaii","Honolulu","NA","NA","NA","Milwaukee","Wisconsin","17","-157.85788","21.30493","NA","NA","-87.90687","43.042",0,"NA","NA","NA",NA,NA,NA,NA,NA,NA,0,"NA","NA","NA","NA","NA","NA","NA","NA","Honolulu","Hawaii","15","3","15003","1014168","1681","953207","1580","198732","19256","2438","418410","90878","77433","10457","213036","477092","476115","61261","57818","56147","60344","73203","134446","125296","131724","114478","68927","47203","22360","37.7","36.1","39.3","311047","2.95","33882","37034","76399","84773","8564","21425","217842","3.48","336899","25852","174387","136660","927","77","23067","163305","603.31","0.138087323702278","1.73544053043537","89770","89770","Urban Honolulu, HI","Urban Honolulu, HI Urbanized Area","75","G3500","U","S","440039089","13080105","21.3641455","-157.940237"
"4",5005,1,5005,1,5005,13,"28","18-30","Male","bachelor's","37500","asian","Honolulu","Hawaii","21.30493","-157.85788","26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,5,5,2,5,2,5,2,5,5,2,5,5,5,4,5,5,2,5,3,2,5,5,3,5,5,3,2,5,2,2,2,3,2,5,5,5,5,5,"R_3G9ruLNU0wzSAfu Survey 13","R_3G9ruLNU0wzSAfu",47,"5","3","NA","NA","NA","NA","NA","NA","NA","NA","2021-03-22 12:47:48","2021-03-22 12:57:30","IP Address","99.68.147.66","582","1","2021-03-22 12:57:31","EN","I agree.","NA","NA","1","english","Los Angeles","California","Los Angeles","Honolulu","Hawaii","Honolulu","Los Angeles","California","2","-118.2455","34.05361","-157.85788","21.30493","-118.2455","34.05361",0,"NA","NA","NA",NA,NA,NA,NA,NA,NA,0,"NA","NA","NA","NA","NA","NA","NA","NA","Honolulu","Hawaii","15","3","15003","1014168","1681","953207","1580","198732","19256","2438","418410","90878","77433","10457","213036","477092","476115","61261","57818","56147","60344","73203","134446","125296","131724","114478","68927","47203","22360","37.7","36.1","39.3","311047","2.95","33882","37034","76399","84773","8564","21425","217842","3.48","336899","25852","174387","136660","927","77","23067","163305","603.31","0.138087323702278","1.73544053043537","89770","89770","Urban Honolulu, HI","Urban Honolulu, HI Urbanized Area","75","G3500","U","S","440039089","13080105","21.3641455","-157.940237"
"5",5006,1,5006,1,5006,13,"44","41-50","Male","high school diploma","1","white","Hilo","Hawaii","19.71924","-155.08186","18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,5,5,4,5,5,5,2,5,5,2,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,2,1,3,5,5,5,5,5,"R_rra0CFfTxLwGqLn Survey 13","R_rra0CFfTxLwGqLn",47,"5","3","NA","NA","NA","NA","NA","NA","NA","NA","2021-03-22 19:02:46","2021-03-22 19:11:18","IP Address","66.8.195.56","512","1","2021-03-22 19:11:19","EN","I agree.","NA","NA","1","english","Hilo","Hawaii","Hawaii","Hilo","Hawaii","Hawaii","Hilo","Hawaii","44","-155.08186","19.71924","-155.08186","19.71924","-155.08186","19.71924",0,"NA","NA","NA",NA,NA,NA,NA,NA,NA,0,"NA","NA","NA","NA","NA","NA","NA","NA","Hilo","Hawaii","15","1","15001","205188","50.9","185079","46","62348","1020","869","41050","22389","21383","2868","54535","92821","92258","11845","11478","11521","12089","10833","22225","21382","27523","29349","15008","8223","3603","40.9","40.2","41.7","67096","2.7","8593","8250","13002","18832","2596","5239","44407","3.22","82324","15228","44271","22825","4220","157","82295","63789","4027.83","0.898218545563835","4.21033361108768","39052","39052","Hilo, HI","Hilo, HI Urban Cluster","76","G3500","C","S","63624388","182617","19.6995907","-155.085319"
"6",5007,1,5007,1,5007,13,"33","31-40","Male","bachelor's","62500","white","Eugene","Oregon","44.04992","-123.08855","22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,3,2,2,2,3,4,3,2,1,3,4,2,1,4,3,2,3,2,3,2,5,2,4,1,1,4,4,1,2,1,2,2,5,5,4,5,5,"R_3ssk0oWEzWuQP4D Survey 13","R_3ssk0oWEzWuQP4D",47,"4","2","NA","NA","NA","NA","NA","NA","NA","NA","2020-11-10 17:21:40","2020-11-10 17:37:23","IP Address","73.240.82.174","943","1","2020-11-10 17:37:24","EN","I agree.","NA","NA","1","english","NA","NA","NA","Des Moines","Iowa","Polk","Salem","Oregon","2","NA","NA","-93.61538","41.58982","-123.04381","44.93326",0,"NA","NA","NA",NA,NA,NA,NA,NA,NA,0,"NA","NA","NA","NA","NA","NA","NA","NA","Eugene","Oregon","41","39","41039","376223","81.5","351715","76.2","310685","3369","4070","8322","769","26167","9837","14663","173044","178671","18381","18776","20132","25532","31116","46026","40747","48150","50074","28358","16497","7926","38.9","37.4","40.5","145966","2.35","18747","23431","23442","41273","3955","10042","86938","2.87","156112","10146","87228","58738","2646","77","97988","59873","4617.63","1.34331713402428","6.55087069479152","28117","28117","Eugene, OR","Eugene, OR Urbanized Area","75","G3500","U","S","224019030","1258999","44.0659945","-123.0766361"
"7",5008,1,5008,1,5008,13,"38","31-40","Female","bachelor's","1e+05","white","Jefferson","Oregon","44.71848","-123.01022","12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,3,1,2,1,2,2,2,1,2,3,2,1,2,2,1,2,1,1,2,2,1,1,2,1,2,3,1,1,1,1,1,5,4,3,4,5,"R_1LOOcCG3itV85yy Survey 13","R_1LOOcCG3itV85yy",47,"3","1","NA","NA","NA","NA","NA","NA","NA","NA","2021-03-22 10:56:16","2021-03-22 11:04:35","IP Address","71.238.76.103","499","1","2021-03-22 11:04:36","EN","I agree.","NA","NA","1","english","NA","NA","NA","Grand Rapids","Michigan","Kent","Gresham","Oregon","13","NA","NA","-85.67195","42.96642","-122.43531","45.50608",0,"NA","NA","NA",NA,NA,NA,NA,NA,NA,0,"NA","NA","NA","NA","NA","NA","NA","NA","Jefferson","Oregon","41","47","41047","338899","283.6","315335","263.8","246656","3371","4959","5995","2329","76594","39819","12206","157117","158218","23580","22951","22865","23471","21350","42994","39503","41151","36921","21380","12949","6220","35.1","33.9","36.5","112957","2.7","11397","16892","25787","31151","3853","9733","77044","3.23","120948","7991","68907","44050","2761","105","237434","254104","1195.2","0.349904345082947","4.17879625644821","955","955","Albany, OR","Albany, OR Urbanized Area","75","G3500","U","S","61948336","288649","44.6300877","-123.090049"
"8",5009,1,5009,1,5009,13,"70","61-70","Female","associate","25000","white","Olympia","Washington","47.03956","-122.89166","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,2,4,3,4,3,5,4,3,3,3,3,3,4,4,3,5,4,3,5,4,3,1,5,3,2,5,3,3,4,2,4,2,4,5,5,5,5,"R_2ZWkAv8qOMRPUqt Survey 13","R_2ZWkAv8qOMRPUqt",47,"4","4","NA","NA","NA","NA","NA","NA","NA","NA","2020-11-10 14:45:39","2020-11-10 14:59:50","IP Address","72.217.117.112","850","1","2020-11-10 14:59:50","EN","I agree.","NA","NA","1","english","NA","NA","NA","NA","NA","NA","Tucson","Arizona","2","NA","NA","NA","NA","-110.96977","32.22177",0,"NA","NA","NA",NA,NA,NA,NA,NA,NA,0,"NA","NA","NA","NA","NA","NA","NA","NA","Olympia","Washington","53","67","53067","281910","382.9","252264","342.6","207856","6752","3515","13037","1961","17787","5648","13495","122952","129312","15381","15629","16559","17216","16325","34015","33007","37043","34325","18284","9933","4547","38.4","37","39.7","100650","2.46","11003","15101","20690","29547","2861","7798","66161","2.95","108182","7532","67069","33581","1200","52","22109","146741","736.33","0.213850377506568","2.52971883221993","65242","65242","Olympia--Lacey, WA","Olympia--Lacey, WA Urbanized Area","75","G3500","U","S","273497769","34631100","47.0354904","-122.8564115"
"9",5010,1,5010,1,5010,13,"48","41-50","Female","bachelor's","75000","white","Beaverton","Oregon","45.49409","-122.86759","9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,3,3,4,2,4,3,5,4,1,5,5,4,1,5,4,1,5,1,4,5,4,2,3,4,2,3,4,3,2,2,1,1,5,5,5,5,5,"R_30dCJHV5GxtFF5X Survey 13","R_30dCJHV5GxtFF5X",47,"5","3","NA","NA","NA","NA","NA","NA","NA","NA","2021-03-26 10:47:33","2021-03-26 10:58:18","IP Address","73.25.211.6","645","1","2021-03-26 10:58:19","EN","I agree.","NA","NA","1","english","Altoona","Pennsylvania","Blair","Altoona","Pennsylvania","Blair","Vancouver","Washington","26","-78.3989","40.50719","-78.3989","40.50719","-122.67156","45.63222",0,"NA","NA","NA",NA,NA,NA,NA,NA,NA,0,"NA","NA","NA","NA","NA","NA","NA","NA","Beaverton","Oregon","41","67","41067","598795","824.4","529710","729.3","405642","9616","3937","45755","2433","83270","39797","22530","260524","269186","38248","38296","37286","34173","31635","83025","81070","74602","58266","28725","16069","8315","35.3","34.4","36.2","200934","2.6","21726","28700","52152","52760","5458","13742","134323","3.14","212450","11516","123071","77863","1755","60","75670","114873","726.35","0.215500689574712","2.7547951512341","71317","71317","Portland, OR--WA","Portland, OR--WA Urbanized Area","75","G3500","U","S","1358123751","34929309","45.5204041","-122.6510867"
"10",5011,1,5011,1,5011,13,"42","41-50","Male","some college","62500","white","Ashland","Oregon","42.2","-122.71731","10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,4,2,3,3,3,1,3,5,3,5,5,2,2,3,2,2,3,1,3,4,5,2,5,3,2,3,3,1,2,2,2,2,4,5,5,5,5,"R_ulhWpVPpgsv67HH Survey 13","R_ulhWpVPpgsv67HH",47,"4","2","NA","NA","NA","NA","NA","NA","NA","NA","2021-03-24 15:17:51","2021-03-24 15:24:10","IP Address","75.142.2.34","379","1","2021-03-24 15:24:11","EN","I agree.","NA","NA","1","english","Medford","Oregon","Jackson","Tampa","Florida","Hillsborough","Salem","Oregon","2","-122.87561","42.32356","-82.45927","27.94653","-123.04381","44.93326",0,"NA","NA","NA",NA,NA,NA,NA,NA,NA,0,"NA","NA","NA","NA","NA","NA","NA","NA","Ashland","Oregon","41","29","41029","222818","79.5","203206","72.5","180172","1372","2386","2364","595","21745","9200","7117","99002","104204","11972","11775","12582","13249","12176","23470","23096","28822","30230","18847","11566","5421","42.2","40.9","43.5","83076","2.4","9635","13400","14719","25512","2596","6076","53460","2.91","90937","7861","52045","31031","2136","80","40667","33262","2801.84","0.794854984766823","3.81566911605074","55981","55981","Medford, OR","Medford, OR Urbanized Area","75","G3500","U","S","167827268","646724","42.3364419","-122.8442385"
